,car_park_no,address,car_park_type,type_of_parking_system,free_parking,night_parking,car_park_basement,address_adj,Name (English),Region
156,MM1,BLK 28A BALAM ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,GEYLANG,GEYLANG,Central
157,MM2,BLK 52A PIPIT ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
158,MM3,BLK 66A CIRCUIT ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
159,MM4,BLK 31A CIRCUIT ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
160,MM5,BLK 17 CIRCUIT ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
161,MM6,BLK 82 CIRCUIT ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
162,M1,BLK 85 TO 94/92A PIPIT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
163,M16,BLK 37 CIRCUIT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
164,M20,BLK 65 & 80 CIRCUIT RD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,GEYLANG,GEYLANG,Central
165,M25,BLK 53 TO 56/68/70/71/72 PIPIT RD/CIRCUIT RD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,GEYLANG,GEYLANG,Central
166,M28,BLK 82A/83 MACPHERSON LANE,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
167,M29,BLK 12 TO 14 MERPATI RD,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
168,M3,BLK 19 TO 21/23/24/30/32 BALAM RD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,GEYLANG,GEYLANG,Central
169,M33,BLK 125 TO 126 ALJUNIED ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
170,M34,BLK 81/82 MACPHERSON LANE,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
171,M35,BLK 41 TO 42 CIRCUIT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,GEYLANG,GEYLANG,Central
172,M36,BLK 43 CIRCUIT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,GEYLANG,GEYLANG,Central
173,M37,BLK 38 TO 40 CIRCUIT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,GEYLANG,GEYLANG,Central
174,M38,BLK 63 TO 64 CIRCUIT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,GEYLANG,GEYLANG,Central
175,M4,BLK 22/34/36 CIRCUIT RD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
176,NBRM,BLK 13 NORTH BRIDGE ROAD MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
177,SDM,BLK 114A LORONG 3 GEYLANG MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
178,SD10,BLK 113/114 LOR 3 GEYLANG,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,GEYLANG,GEYLANG,Central
179,SD9,BLK 114 LOR 3 GEYLANG,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,GEYLANG,GEYLANG,Central
180,UA2,BLK 3 TO 5 UPPER ALJUNIED LANE,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
181,UA6,BLK 2 UPPER ALJUNIED LANE,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
182,UBA4,UBI AVE 4,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,GEYLANG,GEYLANG,Central
183,AH1,BLK 101 JALAN DUSUN,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
184,BKE1,BLK 668 CHANDER ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,KALLANG,KALLANG,Central
185,BKE2,BLK 681/682 RACE COURSE ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,KALLANG,KALLANG,Central
186,BKE3,BLK 682/683 RACE COURSE ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,KALLANG,KALLANG,Central
187,BKE4,BLK 684/685 RACE COURSE ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,KALLANG,KALLANG,Central
188,BKE7,BLK 678 PERUMAL ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
189,BKE9,BLK 668 CHANDER ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,KALLANG,KALLANG,Central
190,BKRM,BLK 6A BOON KENG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
191,BLM,BLK 10 BENDEMEER ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,KALLANG,KALLANG,Central
192,BRM,BLK 39 BENDEMEER ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
193,BRM2,BLK 32A JALAN BAHAGIA,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
194,BRM5,BLK 19A JALAN TENTERAM,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
195,BRM6,BLK 116 JALAN TENTERAM,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
196,BRM7,BLK 78A LORONG LIMAU,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,KALLANG,KALLANG,Central
197,BR11,BLKS 27-30 & 32-33 JALAN BAHAGIA,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
198,BR12,BLKS 34/35 JALAN BAHAGIA,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
199,BR14,BLK 20 JALAN TENTERAM,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
200,BR21,BLK 41/47 JALAN BAHAGIA,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,KALLANG,KALLANG,Central
201,BR22,BLK 61/62 JALAN MA'MOR,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,KALLANG,KALLANG,Central
202,BR8,BLK 76/77 LORONG LIMAU,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,KALLANG,KALLANG,Central
203,CR1,BLK 1/3/15/17 BEACH ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,KALLANG,KALLANG,Central
204,CR1A,BLK 2 BEACH ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,KALLANG,KALLANG,Central
205,CR1B,BLK 3 BEACH ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,KALLANG,KALLANG,Central
206,CR2,BLK 3/4 BEACH ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,KALLANG,KALLANG,Central
207,EC7,BLK 842-848 SIMS AVENUE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,KALLANG,KALLANG,Central
208,EC7T,BLK 842 TO 848 SIM AVENUE,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,KALLANG,KALLANG,Central
209,EC8,BLK 2A EUNOS MRT SIMS AVENUE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,KALLANG,KALLANG,Central
210,FRM,BLK 808 FRENCH ROAD MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
211,JB3,"BLK 6,12,14 KAMPONG ARANG ROAD",SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,KALLANG,KALLANG,Central
212,JB4,"BLK 1,2,9 KAMPONG KAYU",SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
213,KBM,BLK 65A KALLANG BAHRU,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
214,KB10,BLK 30 BENDEMEER ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,KALLANG,KALLANG,Central
215,KB14,BLK 66/71 KALLANG BAHRU,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
216,KB17,BLK 23 BENDEMEER ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
217,KB18,BLK 45-48 BENDEMEER ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,KALLANG,KALLANG,Central
218,KB3,BLK 64/65/67 KALLANG BAHRU,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
219,KJML,BLK 14A FARRER PARK ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,KALLANG,KALLANG,Central
220,KJM1,BLK 37A CAMBRIDGE ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
221,KJM2,BLK 14A FARRER PARK RD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,KALLANG,KALLANG,Central
222,KJ1,BLK 9/10 GLOUCESTER ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,KALLANG,KALLANG,Central
223,KJ2,BLK 49/50 DORSET ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,KALLANG,KALLANG,Central
224,KJ3,BLK 48/48A DURHAM ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
225,KJ4,BLK 51/54 KENT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
226,KLM,BLK 31 KELANTAN LANE MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
227,MNM,BLK 113 MCNAIR ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
228,MNRM,BLK 108A MCNAIR ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
229,MN1,BLKS 108/112 MCNAIR ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
230,MN2,BLKS 119/124 MCNAIR ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
231,MR3,BLK 1/2 MAUDE ROAD,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,KALLANG,KALLANG,Central
232,MR4,BLK 7 KING GEORGE AVENUE,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,KALLANG,KALLANG,Central
233,MR5,"BLK 804/805, 809 MAUDE ROAD",SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,KALLANG,KALLANG,Central
234,MR6,BLK 8 FRENCH ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,KALLANG,KALLANG,Central
235,MR7,BLK 801/802 FRENCH ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,KALLANG,KALLANG,Central
236,RC1,BLK 101/102 JALAN RAJAH,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
237,RC2,BLK 103/104 JALAN RAJAH,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
238,RC3,BLK 105/108 JALAN RAJAH,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
239,SDM2,BLK 50A SIMS DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,KALLANG,KALLANG,Central
240,SD1,BLK 40-44 SIMS DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
241,SD11,BLK 63 SIMS PLACE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,KALLANG,KALLANG,Central
242,SD2,BLK 45/50/51 SIMS DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,KALLANG,KALLANG,Central
243,SD3,BLK 46/47/48/49 SIMS PLACE,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
244,SD4,BLK 52 SIMS PLACE,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
245,SD5,BLK 53 SIMS PLACE,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
246,SGLM,BLK 4A ST. GEORGE'S LANE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
247,SGTM,BLK 25A/26/26A/26B ST.GEORGE'S LANE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
248,SG1,BLK 1/3/8 ST GEORGE RD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
249,SG2,BLK 14/19 ST GEORGE RD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
250,SG3,BLK 20/23 ST GEORGE RD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
251,SG4,BLK 9/11 ST GEORGE RD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
252,TRM,BLK 14A KAMPONG ARANG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
253,TRS,BLK 14 KAMPONG ARANG ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
254,TR1,BLK 102/107 TOWNER ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,KALLANG,KALLANG,Central
255,UBKM,BLK 13A UPPER BOON KENG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
256,UBK2,BLK 11/15/18 UPPER BOON KENG,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
257,UBK4,BLK 19/20 UPPER BOON KENG,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
258,UBK5,BLK 38/39 UPPER BOON KENG,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
259,UBM1,BLK 5 UPP BOON KENG RD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
260,UBM2,BLK 8 UPPER BOON KENG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,KALLANG,KALLANG,Central
261,AK19,BLOCK 253 ANG MO KIO STREET 21,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,ANG MO KIO,ANG MO KIO,North-East
262,AK31,BLK 302/348 ANG MO KIO ST 31,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,ANG MO KIO,ANG MO KIO,North-East
263,AK52,BLOCK 513 ANG MO KIO ST 53,SURFACE CAR PARK,COUPON PARKING,NO,YES,N,ANG MO KIO,ANG MO KIO,North-East
264,AK6,BLOCK 728 ANG MO KIO AVE 6,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,ANG MO KIO,ANG MO KIO,North-East
265,AK83,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,ANG MO KIO,ANG MO KIO,North-East
266,AK9,ANG MO KIO AVENUE 9,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,ANG MO KIO,ANG MO KIO,North-East
267,AM14,BLK 227 ANG MO KIO ST 23,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,ANG MO KIO,ANG MO KIO,North-East
268,AM16,BLK 256A ANG MO KIO STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
269,AM18,BLK 308C ANG MO KIO AVE 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,N,ANG MO KIO,ANG MO KIO,North-East
270,AM19,BLK 260 ANG MO KIO ST 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
271,AM20,BLK 309B ANG MO KIO ST 31,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
272,AM22,BLK 316B ANG MO KIO STREET 31,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
273,AM32,BLK 255A ANG MO KIO ST 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,ANG MO KIO,ANG MO KIO,North-East
274,AM43,BLK 455 ANG MO KIO ST 44,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
275,AM46,BLK 588 ANG MO KIO STREET 52,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,ANG MO KIO,ANG MO KIO,North-East
276,AM51,BLK 700 ANG MO KIO AVE 6,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
277,AM64,BLK 590 ANG MO KIO ST 51,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
278,AM79,BLK 596 ANG MO KIO STREEET 52,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
279,AM80,BLK 130A ANG MO KIO ST 12,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
280,AM81,BLK 132A ANG MO KIO ST 12,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
281,AM96,BLK 352A ANG MO KIO STREET 32,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
282,A1,BLK 215 ANG MO KIO STREET 22,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
283,A10,BLK 201/202 ANG MO KIO STREET 22,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
284,A100,BLK 650 ANG MO KIO STREET 61,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,ANG MO KIO,ANG MO KIO,North-East
285,A11,BLK 223/226/226A-226D ANG MO KIO ST 22,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
286,A12,BLK 229/230 ANG MO KIO ST 22,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
287,A13,BLK 232/233 ANG MO KIO ST 22,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
288,A15,BLK 226E-226H ANG MO KIO ST 22,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
289,A2,BLK 206/207 ANG MO KIO STREET 22,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
290,A20,BLK 304/307/319 ANG MO KIO ST 31,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
291,A21,BLK 325/326/301 ANG MO KIO STREET 31,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
292,A23,BLK 347A ANG MO KIO AVENUE 3,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
293,A24,BLK 338/340 ANG MO KIO ST 32,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
294,A25,BLK 330/337 ANG MO KIO AVE 8,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
295,A26,BLK 113/114/118 ANG MO KIO AVE 4,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
296,A27,BLK 108/109/110 ANG MO KIO ST 11,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
297,A28,BLK 103/105/107 ANG MO KIO ST 11,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
298,A29,BLK 347 ANG MO KIO AVENUE 3,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
299,A30,BLK 129/134 ANG MO KIO STREET 12,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
300,A30A,BLK 133 ANG MO KIO STREET 12,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,ANG MO KIO,ANG MO KIO,North-East
301,A31,BLK 119/128 ANG MO KIO ST 12,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
302,A31A,BLK 125/126 ANG MO KIO STREET 12,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,ANG MO KIO,ANG MO KIO,North-East
303,A33,BLK 253/254 ANG MO KIO STREET 21,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,ANG MO KIO,ANG MO KIO,North-East
304,A34,BLK 422/425 ANG MO KIO ST 42,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
305,A35,BLK 426/428/435 ANG MO KIO ST 43,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
306,A36,BLK 436/443/445 ANG MO KIO ST 43,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
307,A37,BLK 446/449/453 ANG MO KIO ST 43,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
308,A38,BLK 407/410/421 ANG MO KIO AVE 10,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
309,A39,BLK 401/405 ANG MO KIO AVE 10,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
310,A4,BLK 217/220 ANG MO KIO AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,ANG MO KIO,ANG MO KIO,North-East
